Task,Domain,Architecture,Method,Status,Repeats,AccMean,AccStd,PerSampleMsMean,OnlineCommMB,SinglePointModelExposure,MinCollusionModel,ImplementationScope,ComparisonRole,CommMeasurementBasis,Evidence
ISIC2018-CNN,medical_image,Enhanced CNN,2Cloud-D (Data-only),SUCCESS,3,0.782051282051282,0.06821729696728449,2.5847900641025636,1.3403396606445312,1,1,secure-compatible-cnn,mainline_cnn,same_cnn_prediction_behavior_formula_based_system_projection,Enhanced Conv/ReLU/MaxPool/Linear CNN; ASS secure inference preserves plaintext predictions exactly.
ISIC2018-CNN,medical_image,Enhanced CNN,ASS (Ours),SUCCESS,3,0.782051282051282,0.06821729696728449,3.0409294871794876,8.855003356933594,0,2,secure-compatible-cnn,mainline_cnn,same_cnn_prediction_behavior_formula_based_system_projection,Enhanced Conv/ReLU/MaxPool/Linear CNN; ASS secure inference preserves plaintext predictions exactly.
ISIC2018-CNN,medical_image,Enhanced CNN,Cheetah,SUCCESS,3,0.782051282051282,0.06821729696728449,4.105254807692308,155.47607421875,1,1,secure-compatible-cnn,mainline_cnn,same_cnn_prediction_behavior_formula_based_system_projection,Enhanced Conv/ReLU/MaxPool/Linear CNN; ASS secure inference preserves plaintext predictions exactly.
ISIC2018-CNN,medical_image,Enhanced CNN,Delphi,SUCCESS,3,0.782051282051282,0.06821729696728449,8786.400929487181,859.0903396606445,1,1,secure-compatible-cnn,mainline_cnn,same_cnn_prediction_behavior_formula_based_system_projection,Enhanced Conv/ReLU/MaxPool/Linear CNN; ASS secure inference preserves plaintext predictions exactly.
ISIC2018-CNN,medical_image,Enhanced CNN,Sonic,SUCCESS,3,0.782051282051282,0.06821729696728449,156.7497294871795,26.532889131456614,0,2,secure-compatible-cnn,mainline_cnn,same_cnn_prediction_behavior_formula_based_system_projection,Enhanced Conv/ReLU/MaxPool/Linear CNN; ASS secure inference preserves plaintext predictions exactly.
Diabetes,medical,MLP/FNN,2Cloud-D (Data-only),SUCCESS,3,0.7378277153558053,0.023389505611979014,0.020571161048689137,0.0529632568359375,1,1,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,"Reference-style baseline: only input data are split, model remains visible on each cloud"
Diabetes,medical,MLP/FNN,3Share-DM (3-party),SUCCESS,3,0.7378277153558053,0.023389505611979014,0.03328464419475655,0.16839599609375,0,3,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,3-share extension for data and model; evaluates the cost of adding one more party
Diabetes,medical,MLP/FNN,ASS (Ours),SUCCESS,3,0.7378277153558053,0.023389505611979014,0.02501161048689139,0.0774078369140625,0,2,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,2-share data split + 2-share model split; one-round non-linear interaction simulation
Diabetes,medical,MLP/FNN,SecureNN (3PC),SUCCESS,3,0.7378277153558053,0.023389505611979014,0.02820416666666667,4.0,0,2,simulator,mainline_mlp_fnn,task_level_proxy,Three-party SecureNN-style simulator with multi-round DReLU overhead
Digits,general,MLP/FNN,2Cloud-D (Data-only),SUCCESS,3,0.9527777777777777,0.004811252243246928,0.0057603703703703706,0.582275390625,1,1,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,"Reference-style baseline: only input data are split, model remains visible on each cloud"
Digits,general,MLP/FNN,3Share-DM (3-party),SUCCESS,3,0.9527777777777777,0.004811252243246928,0.0080825,1.768798828125,0,3,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,3-share extension for data and model; evaluates the cost of adding one more party
Digits,general,MLP/FNN,ASS (Ours),SUCCESS,3,0.9527777777777777,0.004811252243246928,0.005623703703703704,0.81298828125,0,2,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,2-share data split + 2-share model split; one-round non-linear interaction simulation
Digits,general,MLP/FNN,SecureNN (3PC),SUCCESS,3,0.9537037037037037,0.004243125643477675,0.04122083333333333,10.0,0,2,simulator,mainline_mlp_fnn,task_level_proxy,Three-party SecureNN-style simulator with multi-round DReLU overhead
Fashion,general,MLP/FNN,2Cloud-D (Data-only),SUCCESS,3,0.865,0.003487119154832537,0.0013428933333333333,50.201416015625,1,1,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,"Reference-style baseline: only input data are split, model remains visible on each cloud"
Fashion,general,MLP/FNN,3Share-DM (3-party),SUCCESS,3,0.8652,0.0036715119501371796,0.001966153333333333,127.105712890625,0,3,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,3-share extension for data and model; evaluates the cost of adding one more party
Fashion,general,MLP/FNN,ASS (Ours),SUCCESS,3,0.8650666666666667,0.0035571524191877887,0.0014883666666666666,60.72998046875,0,2,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,2-share data split + 2-share model split; one-round non-linear interaction simulation
Fashion,general,MLP/FNN,SecureNN (3PC),SUCCESS,3,0.8593999999999999,0.004014971979976952,0.4121385416666667,48.5,0,2,simulator,mainline_mlp_fnn,task_level_proxy,Three-party SecureNN-style simulator with multi-round DReLU overhead
Heart,medical,MLP/FNN,2Cloud-D (Data-only),SUCCESS,3,0.8444444444444444,0.01924500897298752,0.03004277777777778,0.037078857421875,1,1,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,"Reference-style baseline: only input data are split, model remains visible on each cloud"
Heart,medical,MLP/FNN,3Share-DM (3-party),SUCCESS,3,0.8444444444444444,0.01924500897298752,0.04807666666666667,0.11627197265625,0,3,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,3-share extension for data and model; evaluates the cost of adding one more party
Heart,medical,MLP/FNN,ASS (Ours),SUCCESS,3,0.8444444444444444,0.01924500897298752,0.03208277777777778,0.053558349609375,0,2,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,2-share data split + 2-share model split; one-round non-linear interaction simulation
Heart,medical,MLP/FNN,SecureNN (3PC),SUCCESS,3,0.8444444444444444,0.01924500897298752,0.028023333333333334,5.0,0,2,simulator,mainline_mlp_fnn,task_level_proxy,Three-party SecureNN-style simulator with multi-round DReLU overhead
Liver,medical,MLP/FNN,2Cloud-D (Data-only),SUCCESS,3,0.7101449275362319,0.014492753623188415,0.02740338164251208,0.0221099853515625,1,1,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,"Reference-style baseline: only input data are split, model remains visible on each cloud"
Liver,medical,MLP/FNN,3Share-DM (3-party),SUCCESS,3,0.7101449275362319,0.014492753623188415,0.046745893719806766,0.07159423828125,0,3,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,3-share extension for data and model; evaluates the cost of adding one more party
Liver,medical,MLP/FNN,ASS (Ours),SUCCESS,3,0.7101449275362319,0.014492753623188415,0.029689855072463772,0.0326385498046875,0,2,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,2-share data split + 2-share model split; one-round non-linear interaction simulation
Liver,medical,MLP/FNN,SecureNN (3PC),SUCCESS,3,0.7053140096618358,0.008367395205646787,0.025786979166666668,2.0,0,2,simulator,mainline_mlp_fnn,task_level_proxy,Three-party SecureNN-style simulator with multi-round DReLU overhead
MNIST,general,MLP/FNN,2Cloud-D (Data-only),SUCCESS,3,0.9445333333333333,0.005367805262240173,0.003664473333333333,50.201416015625,1,1,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,"Reference-style baseline: only input data are split, model remains visible on each cloud"
MNIST,general,MLP/FNN,3Share-DM (3-party),SUCCESS,3,0.9444666666666667,0.005594044452212818,0.0020383933333333335,127.105712890625,0,3,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,3-share extension for data and model; evaluates the cost of adding one more party
MNIST,general,MLP/FNN,ASS (Ours),SUCCESS,3,0.9445333333333333,0.00555817715922523,0.0015257533333333335,60.72998046875,0,2,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,2-share data split + 2-share model split; one-round non-linear interaction simulation
MNIST,general,MLP/FNN,SecureNN (3PC),SUCCESS,3,0.9416,0.005444263035526498,0.8712552083333334,48.5,0,2,simulator,mainline_mlp_fnn,task_level_proxy,Three-party SecureNN-style simulator with multi-round DReLU overhead
Medical,medical,MLP/FNN,2Cloud-D (Data-only),SUCCESS,3,0.9415204678362573,0.005064476045522985,0.017325438596491227,0.085235595703125,1,1,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,"Reference-style baseline: only input data are split, model remains visible on each cloud"
Medical,medical,MLP/FNN,3Share-DM (3-party),SUCCESS,3,0.9415204678362573,0.005064476045522985,0.02563391812865497,0.25048828125,0,3,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,3-share extension for data and model; evaluates the cost of adding one more party
Medical,medical,MLP/FNN,ASS (Ours),SUCCESS,3,0.9415204678362573,0.005064476045522985,0.017557894736842106,0.116546630859375,0,2,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,2-share data split + 2-share model split; one-round non-linear interaction simulation
Medical,medical,MLP/FNN,SecureNN (3PC),SUCCESS,3,0.9415204678362573,0.005064476045522985,0.029085416666666666,12.0,0,2,simulator,mainline_mlp_fnn,task_level_proxy,Three-party SecureNN-style simulator with multi-round DReLU overhead
Wine,general,MLP/FNN,2Cloud-D (Data-only),SUCCESS,3,0.9722222222222222,0.0,0.050494444444444446,0.022796630859375,1,1,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,"Reference-style baseline: only input data are split, model remains visible on each cloud"
Wine,general,MLP/FNN,3Share-DM (3-party),SUCCESS,3,0.9722222222222222,0.0,0.07367314814814815,0.072509765625,0,3,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,3-share extension for data and model; evaluates the cost of adding one more party
Wine,general,MLP/FNN,ASS (Ours),SUCCESS,3,0.9722222222222222,0.0,0.05417685185185185,0.033233642578125,0,2,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,2-share data split + 2-share model split; one-round non-linear interaction simulation
Wine,general,MLP/FNN,SecureNN (3PC),SUCCESS,3,0.9722222222222222,0.0,0.042573148148148145,5.0,0,2,simulator,mainline_mlp_fnn,task_level_proxy,Three-party SecureNN-style simulator with multi-round DReLU overhead
